N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
64	2048	6.103516e-05	1.020432e-04	2.639294e-04	1.907349e-06
128	2048	9.489059e-05	2.100468e-04	4.467964e-04	1.907349e-06
256	2048	1.621246e-04	4.129410e-04	8.080006e-04	1.907349e-06
512	2048	2.961159e-04	8.270741e-04	1.560926e-03	3.099442e-06
1024	2048	5.669594e-04	1.653910e-03	3.028870e-03	3.814697e-06
2048	2048	1.102209e-03	3.369093e-03	6.093979e-03	5.960464e-06
4096	2048	2.173901e-03	7.125854e-03	1.260495e-02	9.059906e-06
8192	2048	4.326105e-03	1.461387e-02	2.550101e-02	1.192093e-05
1	4096	6.985664e-05	3.099442e-06	1.502037e-05	9.536743e-07
2	4096	7.104874e-05	7.152557e-06	2.384186e-05	9.536743e-07
4	4096	7.081032e-05	1.406670e-05	3.981590e-05	9.536743e-07
8	4096	6.985664e-05	3.004074e-05	7.295609e-05	2.145767e-06
16	4096	9.083748e-05	5.102158e-05	1.411438e-04	1.907349e-06
32	4096	9.179115e-05	1.051426e-04	2.739429e-04	2.861023e-06
64	4096	9.393692e-05	2.191067e-04	4.689693e-04	1.907349e-06
128	4096	1.599789e-04	4.370213e-04	8.530617e-04	2.145767e-06
256	4096	2.920628e-04	8.828640e-04	1.616001e-03	2.861023e-06
512	4096	5.569458e-04	1.785040e-03	3.176928e-03	5.006790e-06
1024	4096	1.081944e-03	3.650188e-03	6.438971e-03	5.960464e-06
2048	4096	2.130985e-03	7.258892e-03	1.268816e-02	7.867813e-06
4096	4096	4.226923e-03	1.347113e-02	2.425480e-02	9.775162e-06
8192	4096	8.438826e-03	2.686119e-02	4.819822e-02	1.287460e-05
1	8192	1.120567e-04	7.152557e-06	2.288818e-05	1.907349e-06
2	8192	1.139641e-04	1.406670e-05	4.005432e-05	1.907349e-06
4	8192	1.130104e-04	2.598763e-05	7.200241e-05	1.907349e-06
8	8192	1.530647e-04	5.197525e-05	1.370907e-04	1.907349e-06
16	8192	1.549721e-04	1.089573e-04	2.641678e-04	1.907349e-06
32	8192	1.571178e-04	2.088547e-04	4.518032e-04	2.145767e-06
64	8192	1.578331e-04	4.279613e-04	8.330345e-04	2.861023e-06
128	8192	2.911091e-04	8.730888e-04	1.601934e-03	2.861023e-06
256	8192	5.509853e-04	1.794815e-03	3.160000e-03	5.006790e-06
512	8192	1.074076e-03	3.576994e-03	6.365061e-03	5.006790e-06
1024	8192	2.110958e-03	7.299185e-03	1.273012e-02	7.152557e-06
2048	8192	4.185915e-03	1.436305e-02	2.524900e-02	7.867813e-06
4096	8192	8.336067e-03	2.685714e-02	4.805493e-02	1.001358e-05
8192	8192	1.663494e-02	5.628800e-02	9.787703e-02	1.406670e-05
