N	OP_P_T	T_B	TIME_DEVICE	TIME_HOST	TIME_onDEV
1	42	1024	4.792213e-05	0.000000e+00	1.311302e-05
1	43	64	4.816055e-05	0.000000e+00	1.287460e-05
1	43	128	4.696846e-05	0.000000e+00	1.287460e-05
1	43	256	4.696846e-05	0.000000e+00	1.287460e-05
1	43	512	4.696846e-05	0.000000e+00	1.382828e-05
1	43	1024	4.792213e-05	0.000000e+00	1.311302e-05
1	44	64	4.696846e-05	0.000000e+00	1.406670e-05
1	44	128	4.601479e-05	0.000000e+00	1.311302e-05
1	44	256	4.196167e-05	0.000000e+00	1.287460e-05
1	44	512	4.792213e-05	0.000000e+00	1.192093e-05
1	44	1024	4.696846e-05	0.000000e+00	1.192093e-05
1	45	64	4.482269e-05	0.000000e+00	1.406670e-05
1	45	128	4.696846e-05	0.000000e+00	1.382828e-05
1	45	256	4.410744e-05	0.000000e+00	1.382828e-05
1	45	512	4.792213e-05	0.000000e+00	1.287460e-05
1	45	1024	4.291534e-05	0.000000e+00	1.287460e-05
1	46	64	4.696846e-05	0.000000e+00	1.311302e-05
1	46	128	4.792213e-05	0.000000e+00	1.311302e-05
1	46	256	4.696846e-05	0.000000e+00	1.382828e-05
1	46	512	4.696846e-05	0.000000e+00	1.382828e-05
1	46	1024	4.792213e-05	0.000000e+00	1.287460e-05
1	47	64	4.696846e-05	0.000000e+00	1.287460e-05
1	47	128	4.792213e-05	0.000000e+00	1.382828e-05
1	47	256	4.792213e-05	0.000000e+00	1.287460e-05
1	47	512	4.506111e-05	0.000000e+00	1.287460e-05
1	47	1024	4.696846e-05	0.000000e+00	1.406670e-05
1	48	64	4.792213e-05	0.000000e+00	1.382828e-05
1	48	128	4.792213e-05	0.000000e+00	1.311302e-05
1	48	256	4.696846e-05	0.000000e+00	1.382828e-05
1	48	512	4.792213e-05	0.000000e+00	1.311302e-05
1	48	1024	4.792213e-05	0.000000e+00	1.382828e-05
1	49	64	4.696846e-05	0.000000e+00	1.406670e-05
1	49	128	4.816055e-05	0.000000e+00	1.287460e-05
1	49	256	4.792213e-05	0.000000e+00	1.311302e-05
1	49	512	4.720688e-05	0.000000e+00	1.287460e-05
1	49	1024	4.792213e-05	0.000000e+00	1.311302e-05
2	1	64	4.792213e-05	0.000000e+00	1.311302e-05
2	1	128	4.696846e-05	0.000000e+00	1.382828e-05
2	1	256	4.696846e-05	0.000000e+00	1.311302e-05
2	1	512	4.696846e-05	0.000000e+00	1.311302e-05
2	1	1024	4.696846e-05	0.000000e+00	1.382828e-05
2	2	64	4.696846e-05	0.000000e+00	1.287460e-05
2	2	128	4.696846e-05	0.000000e+00	1.311302e-05
2	2	256	4.696846e-05	0.000000e+00	1.382828e-05
2	2	512	4.696846e-05	0.000000e+00	1.287460e-05
2	2	1024	4.482269e-05	0.000000e+00	1.311302e-05
2	3	64	4.696846e-05	0.000000e+00	1.287460e-05
2	3	128	4.696846e-05	0.000000e+00	1.382828e-05
2	3	256	4.696846e-05	0.000000e+00	1.382828e-05
2	3	512	4.601479e-05	0.000000e+00	1.287460e-05
2	3	1024	4.601479e-05	0.000000e+00	1.311302e-05
2	4	64	4.696846e-05	0.000000e+00	1.311302e-05
2	4	128	4.696846e-05	0.000000e+00	1.287460e-05
2	4	256	4.601479e-05	0.000000e+00	1.192093e-05
2	4	512	4.601479e-05	0.000000e+00	1.311302e-05
2	4	1024	4.386902e-05	0.000000e+00	1.192093e-05
2	5	64	4.601479e-05	0.000000e+00	1.311302e-05
2	5	128	4.506111e-05	0.000000e+00	1.215935e-05
2	5	256	4.696846e-05	0.000000e+00	1.406670e-05
2	5	512	4.601479e-05	0.000000e+00	1.215935e-05
2	5	1024	4.601479e-05	0.000000e+00	1.382828e-05
2	6	64	4.601479e-05	0.000000e+00	1.287460e-05
2	6	128	4.696846e-05	0.000000e+00	1.287460e-05
2	6	256	4.601479e-05	0.000000e+00	1.311302e-05
2	6	512	4.696846e-05	0.000000e+00	1.311302e-05
2	6	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	7	64	4.696846e-05	0.000000e+00	1.287460e-05
2	7	128	4.506111e-05	0.000000e+00	1.287460e-05
2	7	256	4.696846e-05	0.000000e+00	1.287460e-05
2	7	512	4.696846e-05	0.000000e+00	1.406670e-05
2	7	1024	4.601479e-05	0.000000e+00	1.311302e-05
2	8	64	4.696846e-05	0.000000e+00	1.311302e-05
2	8	128	4.696846e-05	0.000000e+00	1.311302e-05
2	8	256	4.696846e-05	0.000000e+00	1.406670e-05
2	8	512	4.696846e-05	0.000000e+00	1.311302e-05
2	8	1024	4.696846e-05	0.000000e+00	1.406670e-05
2	9	64	4.696846e-05	0.000000e+00	1.311302e-05
2	9	128	4.696846e-05	0.000000e+00	1.406670e-05
2	9	256	4.386902e-05	0.000000e+00	1.382828e-05
2	9	512	4.696846e-05	0.000000e+00	1.382828e-05
2	9	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	10	64	4.696846e-05	0.000000e+00	1.311302e-05
2	10	128	4.696846e-05	0.000000e+00	1.406670e-05
2	10	256	4.696846e-05	0.000000e+00	1.311302e-05
2	10	512	4.696846e-05	0.000000e+00	1.287460e-05
2	10	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	11	64	4.792213e-05	0.000000e+00	1.287460e-05
2	11	128	4.696846e-05	0.000000e+00	1.382828e-05
2	11	256	4.696846e-05	0.000000e+00	1.382828e-05
2	11	512	4.696846e-05	0.000000e+00	1.287460e-05
2	11	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	12	64	4.696846e-05	0.000000e+00	1.382828e-05
2	12	128	4.696846e-05	0.000000e+00	1.287460e-05
2	12	256	4.506111e-05	0.000000e+00	1.382828e-05
2	12	512	4.696846e-05	0.000000e+00	1.287460e-05
2	12	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	13	64	4.696846e-05	0.000000e+00	1.287460e-05
2	13	128	4.696846e-05	0.000000e+00	1.311302e-05
2	13	256	4.696846e-05	0.000000e+00	1.311302e-05
2	13	512	4.696846e-05	0.000000e+00	1.287460e-05
2	13	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	14	64	4.696846e-05	0.000000e+00	1.287460e-05
2	14	128	4.601479e-05	0.000000e+00	1.287460e-05
2	14	256	4.696846e-05	0.000000e+00	1.311302e-05
2	14	512	4.291534e-05	0.000000e+00	1.192093e-05
2	14	1024	4.601479e-05	0.000000e+00	1.287460e-05
2	15	64	4.696846e-05	0.000000e+00	1.406670e-05
2	15	128	4.696846e-05	0.000000e+00	1.406670e-05
2	15	256	4.291534e-05	0.000000e+00	1.192093e-05
2	15	512	4.696846e-05	0.000000e+00	1.406670e-05
2	15	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	16	64	4.792213e-05	0.000000e+00	1.287460e-05
2	16	128	4.506111e-05	0.000000e+00	1.287460e-05
2	16	256	4.696846e-05	0.000000e+00	1.287460e-05
2	16	512	4.696846e-05	0.000000e+00	1.382828e-05
2	16	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	17	64	4.696846e-05	0.000000e+00	1.287460e-05
2	17	128	4.696846e-05	0.000000e+00	1.382828e-05
2	17	256	4.696846e-05	0.000000e+00	1.287460e-05
2	17	512	4.696846e-05	0.000000e+00	1.311302e-05
2	17	1024	4.696846e-05	0.000000e+00	1.382828e-05
2	18	64	4.792213e-05	0.000000e+00	1.287460e-05
2	18	128	4.696846e-05	0.000000e+00	1.311302e-05
2	18	256	4.696846e-05	0.000000e+00	1.382828e-05
2	18	512	4.696846e-05	0.000000e+00	1.287460e-05
2	18	1024	4.696846e-05	0.000000e+00	1.406670e-05
2	19	64	4.696846e-05	0.000000e+00	1.287460e-05
2	19	128	4.696846e-05	0.000000e+00	1.311302e-05
2	19	256	4.696846e-05	0.000000e+00	1.311302e-05
2	19	512	4.720688e-05	0.000000e+00	1.287460e-05
2	19	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	20	64	4.792213e-05	0.000000e+00	1.311302e-05
2	20	128	4.696846e-05	0.000000e+00	1.382828e-05
2	20	256	4.696846e-05	0.000000e+00	1.311302e-05
2	20	512	4.696846e-05	0.000000e+00	1.287460e-05
2	20	1024	4.696846e-05	0.000000e+00	1.311302e-05
2	21	64	4.696846e-05	0.000000e+00	1.287460e-05
2	21	128	4.696846e-05	0.000000e+00	1.382828e-05
2	21	256	4.696846e-05	0.000000e+00	1.406670e-05
2	21	512	4.696846e-05	0.000000e+00	1.287460e-05
2	21	1024	4.696846e-05	0.000000e+00	1.311302e-05
2	22	64	4.696846e-05	0.000000e+00	1.406670e-05
2	22	128	4.696846e-05	0.000000e+00	1.287460e-05
2	22	256	4.601479e-05	0.000000e+00	1.287460e-05
2	22	512	4.696846e-05	0.000000e+00	1.287460e-05
2	22	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	23	64	4.696846e-05	0.000000e+00	1.311302e-05
2	23	128	4.601479e-05	0.000000e+00	1.287460e-05
2	23	256	4.696846e-05	0.000000e+00	1.311302e-05
2	23	512	4.601479e-05	0.000000e+00	1.287460e-05
2	23	1024	4.696846e-05	0.000000e+00	1.311302e-05
2	24	64	4.291534e-05	0.000000e+00	1.311302e-05
2	24	128	4.696846e-05	0.000000e+00	1.311302e-05
2	24	256	4.601479e-05	0.000000e+00	1.192093e-05
2	24	512	4.696846e-05	0.000000e+00	1.311302e-05
2	24	1024	4.506111e-05	0.000000e+00	1.192093e-05
2	25	64	4.696846e-05	0.000000e+00	1.382828e-05
2	25	128	4.506111e-05	0.000000e+00	1.192093e-05
2	25	256	4.696846e-05	0.000000e+00	1.406670e-05
2	25	512	4.696846e-05	0.000000e+00	1.311302e-05
2	25	1024	4.696846e-05	0.000000e+00	1.311302e-05
2	26	64	4.696846e-05	0.000000e+00	1.311302e-05
2	26	128	4.696846e-05	0.000000e+00	1.311302e-05
2	26	256	4.696846e-05	0.000000e+00	1.311302e-05
2	26	512	4.696846e-05	0.000000e+00	1.406670e-05
2	26	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	27	64	4.696846e-05	0.000000e+00	1.311302e-05
2	27	128	4.696846e-05	0.000000e+00	1.382828e-05
2	27	256	4.696846e-05	0.000000e+00	1.287460e-05
2	27	512	4.696846e-05	0.000000e+00	1.287460e-05
2	27	1024	4.696846e-05	0.000000e+00	1.311302e-05
2	28	64	4.696846e-05	0.000000e+00	1.287460e-05
2	28	128	4.696846e-05	0.000000e+00	1.287460e-05
2	28	256	4.696846e-05	0.000000e+00	1.311302e-05
2	28	512	4.696846e-05	0.000000e+00	1.287460e-05
2	28	1024	4.696846e-05	0.000000e+00	1.406670e-05
2	29	64	4.601479e-05	0.000000e+00	1.287460e-05
2	29	128	4.696846e-05	0.000000e+00	1.287460e-05
2	29	256	4.720688e-05	0.000000e+00	1.382828e-05
2	29	512	4.506111e-05	0.000000e+00	1.287460e-05
2	29	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	30	64	4.696846e-05	0.000000e+00	1.406670e-05
2	30	128	4.696846e-05	0.000000e+00	1.311302e-05
2	30	256	4.696846e-05	0.000000e+00	1.287460e-05
2	30	512	4.696846e-05	0.000000e+00	1.311302e-05
2	30	1024	4.696846e-05	0.000000e+00	1.382828e-05
2	31	64	4.601479e-05	0.000000e+00	1.287460e-05
2	31	128	4.696846e-05	0.000000e+00	1.382828e-05
2	31	256	4.696846e-05	0.000000e+00	1.287460e-05
2	31	512	4.696846e-05	0.000000e+00	1.287460e-05
2	31	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	32	64	4.696846e-05	0.000000e+00	1.287460e-05
2	32	128	4.696846e-05	0.000000e+00	1.382828e-05
2	32	256	4.696846e-05	0.000000e+00	1.311302e-05
2	32	512	4.577637e-05	0.000000e+00	1.311302e-05
2	32	1024	4.696846e-05	0.000000e+00	1.287460e-05
2	33	64	4.601479e-05	0.000000e+00	1.287460e-05
2	33	128	4.696846e-05	0.000000e+00	1.311302e-05
2	33	256	4.720688e-05	0.000000e+00	1.192093e-05
2	33	512	4.696846e-05	0.000000e+00	1.287460e-05
2	33	1024	4.315376e-05	0.000000e+00	1.215935e-05
2	34	64	4.696846e-05	0.000000e+00	1.406670e-05
2	34	128	4.601479e-05	0.000000e+00	1.215935e-05
2	34	256	4.696846e-05	0.000000e+00	1.287460e-05
2	34	512	4.291534e-05	0.000000e+00	1.287460e-05
2	34	1024	4.482269e-05	0.000000e+00	1.382828e-05
2	35	64	4.816055e-05	0.000000e+00	1.382828e-05
2	35	128	4.792213e-05	0.000000e+00	1.311302e-05
2	35	256	4.696846e-05	0.000000e+00	1.287460e-05
2	35	512	4.696846e-05	0.000000e+00	1.287460e-05
2	35	1024	4.506111e-05	0.000000e+00	1.382828e-05
2	36	64	4.696846e-05	0.000000e+00	1.406670e-05
2	36	128	4.601479e-05	0.000000e+00	1.382828e-05
2	36	256	4.696846e-05	0.000000e+00	1.311302e-05
2	36	512	4.696846e-05	0.000000e+00	1.311302e-05
2	36	1024	4.601479e-05	0.000000e+00	1.382828e-05
2	37	64	4.720688e-05	0.000000e+00	1.382828e-05
2	37	128	4.696846e-05	0.000000e+00	1.287460e-05
2	37	256	4.696846e-05	0.000000e+00	1.311302e-05
