N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH	CT_HtD
4096	4	5.960464e-06	2.193451e-05	4.792213e-05	9.059906e-06
8192	4	6.198883e-06	4.601479e-05	8.106232e-05	1.716614e-05
1	8	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	8	5.006790e-06	0.000000e+00	1.692772e-05	1.192093e-06
4	8	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
8	8	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
16	8	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
32	8	5.006790e-06	0.000000e+00	1.597404e-05	1.907349e-06
64	8	5.006790e-06	0.000000e+00	1.502037e-05	9.536743e-07
128	8	5.960464e-06	9.536743e-07	1.597404e-05	1.907349e-06
256	8	5.960464e-06	1.907349e-06	1.811981e-05	3.099442e-06
512	8	5.006790e-06	5.006790e-06	2.193451e-05	5.006790e-06
1024	8	5.960464e-06	1.001358e-05	3.099442e-05	7.867813e-06
2048	8	5.006790e-06	2.288818e-05	4.792213e-05	9.059906e-06
4096	8	6.198883e-06	4.291534e-05	8.106232e-05	1.597404e-05
8192	8	5.960464e-06	8.606911e-05	1.440048e-04	2.908707e-05
1	16	5.006790e-06	0.000000e+00	1.406670e-05	9.536743e-07
2	16	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	16	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
8	16	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
16	16	5.960464e-06	0.000000e+00	1.502037e-05	9.536743e-07
32	16	9.536743e-07	9.536743e-07	1.502037e-05	2.145767e-06
64	16	5.960464e-06	9.536743e-07	1.597404e-05	1.907349e-06
128	16	5.960464e-06	1.907349e-06	2.193451e-05	2.861023e-06
256	16	5.006790e-06	4.053116e-06	2.288818e-05	4.768372e-06
512	16	6.198883e-06	9.059906e-06	3.099442e-05	7.867813e-06
1024	16	5.960464e-06	2.193451e-05	4.816055e-05	8.821487e-06
2048	16	6.198883e-06	4.196167e-05	8.106232e-05	1.597404e-05
4096	16	5.960464e-06	9.107590e-05	1.449585e-04	2.884865e-05
8192	16	5.960464e-06	1.671314e-04	2.880096e-04	5.602837e-05
1	32	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
2	32	5.960464e-06	0.000000e+00	1.597404e-05	9.536743e-07
4	32	5.006790e-06	9.536743e-07	1.502037e-05	9.536743e-07
8	32	5.006790e-06	0.000000e+00	1.597404e-05	9.536743e-07
