N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
1024	512	1.258850e-04	1.800060e-04	8.630753e-04	1.907349e-06
2048	512	2.269745e-04	4.949570e-04	1.605988e-03	3.099442e-06
4096	512	4.339218e-04	1.058102e-03	3.167868e-03	5.960464e-06
8192	512	8.358955e-04	2.281904e-03	6.259203e-03	6.914139e-06
1	1024	2.598763e-05	0.000000e+00	1.001358e-05	1.907349e-06
2	1024	2.694130e-05	9.536743e-07	1.192093e-05	1.907349e-06
4	1024	2.694130e-05	2.145767e-06	1.502037e-05	1.907349e-06
8	1024	2.813339e-05	3.099442e-06	2.288818e-05	1.907349e-06
16	1024	2.789497e-05	5.006790e-06	4.005432e-05	2.145767e-06
32	1024	3.004074e-05	1.001358e-05	7.295609e-05	1.907349e-06
64	1024	3.290176e-05	2.002716e-05	1.370907e-04	1.907349e-06
128	1024	3.910065e-05	3.981590e-05	2.639294e-04	2.861023e-06
256	1024	5.197525e-05	1.099110e-04	4.529953e-04	2.861023e-06
512	1024	7.891655e-05	2.260208e-04	8.499622e-04	2.861023e-06
1024	1024	1.308918e-04	4.489422e-04	1.591921e-03	3.814697e-06
2048	1024	2.338886e-04	1.105070e-03	3.128052e-03	5.006790e-06
4096	1024	4.470348e-04	2.250910e-03	6.376028e-03	7.152557e-06
8192	1024	8.668900e-04	4.785061e-03	1.276803e-02	6.914139e-06
1	2048	2.598763e-05	9.536743e-07	1.096725e-05	2.145767e-06
2	2048	2.694130e-05	9.536743e-07	1.502037e-05	1.907349e-06
4	2048	2.789497e-05	2.145767e-06	2.312660e-05	1.907349e-06
8	2048	2.789497e-05	1.096725e-05	4.005432e-05	2.145767e-06
16	2048	2.908707e-05	1.811981e-05	7.295609e-05	2.861023e-06
32	2048	3.099442e-05	2.002716e-05	1.368523e-04	2.861023e-06
64	2048	3.504753e-05	5.388260e-05	2.799034e-04	2.861023e-06
128	2048	4.386902e-05	1.020432e-04	4.599094e-04	2.861023e-06
256	2048	6.008148e-05	2.510548e-04	8.418560e-04	2.861023e-06
512	2048	8.797646e-05	5.471706e-04	1.640081e-03	4.053116e-06
1024	2048	1.480579e-04	1.130104e-03	3.212929e-03	6.914139e-06
2048	2048	2.591610e-04	2.260923e-03	6.210089e-03	6.914139e-06
4096	2048	4.839897e-04	4.661083e-03	1.261997e-02	7.152557e-06
8192	2048	9.329319e-04	9.598970e-03	2.547693e-02	8.821487e-06
1	4096	2.694130e-05	2.861023e-06	1.597404e-05	2.861023e-06
2	4096	2.813339e-05	4.053116e-06	2.384186e-05	3.814697e-06
4	4096	2.789497e-05	8.106232e-06	4.100800e-05	3.099442e-06
8	4096	2.884865e-05	1.192093e-05	7.295609e-05	3.814697e-06
16	4096	3.099442e-05	2.503395e-05	1.368523e-04	4.053116e-06
32	4096	3.290176e-05	6.294250e-05	2.779961e-04	3.814697e-06
64	4096	4.100800e-05	1.158714e-04	4.820824e-04	5.006790e-06
128	4096	5.602837e-05	2.400875e-04	8.440018e-04	5.006790e-06
256	4096	8.296967e-05	5.369186e-04	1.649141e-03	5.960464e-06
512	4096	1.349449e-04	1.235008e-03	3.224850e-03	6.198883e-06
1024	4096	2.279282e-04	2.192020e-03	6.088018e-03	6.914139e-06
2048	4096	4.239082e-04	4.464149e-03	1.208997e-02	8.106232e-06
4096	4096	8.189678e-04	9.369850e-03	2.402496e-02	9.059906e-06
8192	4096	1.621008e-03	2.111316e-02	5.082202e-02	1.001358e-05
1	8192	3.790855e-05	7.867813e-06	2.384186e-05	5.960464e-06
2	8192	3.695488e-05	1.001358e-05	4.100800e-05	5.960464e-06
4	8192	3.790855e-05	2.098083e-05	7.390976e-05	5.960464e-06
8	8192	4.386902e-05	4.100800e-05	1.380444e-04	5.960464e-06
16	8192	4.196167e-05	7.486343e-05	2.651215e-04	5.960464e-06
32	8192	4.887581e-05	1.378059e-04	4.639626e-04	5.960464e-06
64	8192	6.103516e-05	2.670288e-04	8.428097e-04	5.960464e-06
128	8192	8.797646e-05	5.838871e-04	1.635075e-03	6.914139e-06
256	8192	1.378059e-04	1.286983e-03	3.221989e-03	9.059906e-06
512	8192	2.391338e-04	2.636909e-03	6.417036e-03	1.001358e-05
1024	8192	4.260540e-04	5.203009e-03	1.255298e-02	1.096725e-05
2048	8192	8.108616e-04	1.043010e-02	2.489686e-02	1.192093e-05
4096	8192	1.582861e-03	1.914215e-02	4.800987e-02	1.192093e-05
8192	8192	3.126860e-03	4.177403e-02	9.908986e-02	1.287460e-05
