N	TIME_onDEV_T1	TIME_HOST	TIME_onDEV_Tp
32768	1024	1.367497e-02	1.139641e-04	3.290176e-05
32768	2048	1.367497e-02	1.139641e-04	2.288818e-05
32768	4096	1.367497e-02	1.139641e-04	1.811981e-05
32768	8192	1.367497e-02	1.139641e-04	1.597404e-05
32768	16384	1.367497e-02	1.139641e-04	1.597404e-05
32768	32768	1.367497e-02	1.139641e-04	1.597404e-05
65536	1	2.959800e-02	2.288818e-04	2.959085e-02
65536	2	2.959800e-02	2.288818e-04	1.631522e-02
65536	4	2.959800e-02	2.288818e-04	9.096861e-03
65536	8	2.959800e-02	2.288818e-04	4.575968e-03
65536	16	2.959800e-02	2.288818e-04	2.295017e-03
65536	32	2.959800e-02	2.288818e-04	1.294851e-03
65536	64	2.959800e-02	2.288818e-04	6.508827e-04
65536	128	2.959800e-02	2.288818e-04	3.318787e-04
65536	256	2.959800e-02	2.288818e-04	1.728535e-04
65536	512	2.959800e-02	2.288818e-04	9.584427e-05
65536	1024	2.959800e-02	2.288818e-04	5.388260e-05
65536	2048	2.959800e-02	2.288818e-04	3.290176e-05
65536	4096	2.959800e-02	2.288818e-04	2.503395e-05
65536	8192	2.959800e-02	2.288818e-04	2.098083e-05
65536	16384	2.959800e-02	2.288818e-04	2.098083e-05
65536	32768	2.959800e-02	2.288818e-04	2.098083e-05
131072	1	5.880594e-02	4.591942e-04	5.880499e-02
131072	2	5.880594e-02	4.591942e-04	3.239393e-02
131072	4	5.880594e-02	4.591942e-04	1.781607e-02
131072	8	5.880594e-02	4.591942e-04	8.992195e-03
131072	16	5.880594e-02	4.591942e-04	4.567862e-03
131072	32	5.880594e-02	4.591942e-04	2.573013e-03
131072	64	5.880594e-02	4.591942e-04	1.286983e-03
131072	128	5.880594e-02	4.591942e-04	6.530285e-04
131072	256	5.880594e-02	4.591942e-04	3.368855e-04
131072	512	5.880594e-02	4.591942e-04	1.828671e-04
131072	1024	5.880594e-02	4.591942e-04	9.799004e-05
131072	2048	5.880594e-02	4.591942e-04	5.602837e-05
131072	4096	5.880594e-02	4.591942e-04	3.886223e-05
131072	8192	5.880594e-02	4.591942e-04	3.290176e-05
131072	16384	5.880594e-02	4.591942e-04	3.290176e-05
131072	32768	5.880594e-02	4.591942e-04	3.194809e-05
262144	1	1.175652e-01	1.023769e-03	1.175768e-01
262144	2	1.175652e-01	1.023769e-03	6.484890e-02
262144	4	1.175652e-01	1.023769e-03	3.560019e-02
262144	8	1.175652e-01	1.023769e-03	1.794600e-02
262144	16	1.175652e-01	1.023769e-03	9.127140e-03
262144	32	1.175652e-01	1.023769e-03	5.151033e-03
262144	64	1.175652e-01	1.023769e-03	2.572775e-03
262144	128	1.175652e-01	1.023769e-03	1.291037e-03
262144	256	1.175652e-01	1.023769e-03	6.580353e-04
262144	512	1.175652e-01	1.023769e-03	3.528595e-04
262144	1024	1.175652e-01	1.023769e-03	1.819134e-04
262144	2048	1.175652e-01	1.023769e-03	1.010895e-04
262144	4096	1.175652e-01	1.023769e-03	6.794930e-05
262144	8192	1.175652e-01	1.023769e-03	5.102158e-05
262144	16384	1.175652e-01	1.023769e-03	5.102158e-05
262144	32768	1.175652e-01	1.023769e-03	5.102158e-05
524288	1	2.352269e-01	1.888037e-03	2.352118e-01
524288	2	2.352269e-01	1.888037e-03	1.296909e-01
524288	4	2.352269e-01	1.888037e-03	7.124090e-02
524288	8	2.352269e-01	1.888037e-03	3.596115e-02
524288	16	2.352269e-01	1.888037e-03	1.824498e-02
524288	32	2.352269e-01	1.888037e-03	1.024604e-02
