N_ROWS	N_COLS	MRTIME_onDEV	MRTIME_HOST	CT_DtH_M	CT_HtD_V
128	2048	4.291534e-05	8.821487e-05	4.439354e-04	2.861023e-06
256	2048	5.793571e-05	1.919270e-04	8.120537e-04	3.099442e-06
512	2048	8.893013e-05	4.229546e-04	1.537085e-03	4.053116e-06
1024	2048	1.459122e-04	9.958744e-04	3.049135e-03	5.960464e-06
2048	2048	2.591610e-04	2.008915e-03	6.053209e-03	6.914139e-06
4096	2048	4.799366e-04	4.070997e-03	1.205111e-02	6.914139e-06
8192	2048	9.341240e-04	9.527206e-03	2.535605e-02	9.059906e-06
1	4096	2.813339e-05	2.861023e-06	1.597404e-05	2.861023e-06
2	4096	2.813339e-05	5.960464e-06	2.384186e-05	2.861023e-06
4	4096	2.694130e-05	6.914139e-06	4.100800e-05	3.814697e-06
8	4096	2.789497e-05	1.287460e-05	7.200241e-05	4.053116e-06
16	4096	3.099442e-05	2.503395e-05	1.368523e-04	3.814697e-06
32	4096	3.409386e-05	5.292892e-05	2.639294e-04	3.814697e-06
64	4096	4.100800e-05	1.039505e-04	4.680157e-04	4.053116e-06
128	4096	5.507469e-05	2.720356e-04	8.618832e-04	4.053116e-06
256	4096	8.296967e-05	6.010532e-04	1.634121e-03	5.960464e-06
512	4096	1.339912e-04	1.163960e-03	3.063917e-03	7.867813e-06
1024	4096	2.269745e-04	2.398968e-03	6.134987e-03	9.059906e-06
2048	4096	4.229546e-04	5.215883e-03	1.254296e-02	1.001358e-05
4096	4096	8.220673e-04	1.053905e-02	2.524304e-02	1.096725e-05
8192	4096	1.621008e-03	1.920104e-02	4.819918e-02	9.059906e-06
1	8192	3.600121e-05	6.914139e-06	2.288818e-05	4.768372e-06
2	8192	3.790855e-05	9.059906e-06	4.100800e-05	5.006790e-06
4	8192	3.814697e-05	1.478195e-05	7.200241e-05	5.960464e-06
8	8192	4.696846e-05	3.004074e-05	1.368523e-04	5.960464e-06
16	8192	4.196167e-05	5.197525e-05	2.641678e-04	5.006790e-06
32	8192	4.887581e-05	1.049042e-04	4.498959e-04	5.960464e-06
64	8192	6.198883e-05	2.090931e-04	8.769035e-04	6.914139e-06
128	8192	8.702278e-05	4.599094e-04	1.543999e-03	6.914139e-06
256	8192	1.351833e-04	1.054049e-03	3.041983e-03	8.821487e-06
512	8192	2.329350e-04	2.212048e-03	6.074905e-03	1.096725e-05
1024	8192	4.229546e-04	4.579067e-03	1.208711e-02	1.096725e-05
2048	8192	8.130074e-04	1.057410e-02	2.503204e-02	1.215935e-05
4096	8192	1.580954e-03	2.059817e-02	4.858398e-02	1.192093e-05
8192	8192	3.118992e-03	3.930402e-02	9.637094e-02	1.096725e-05
